name,religion_origin,religion_current,country,latitude,longitude,height_m,construction_start,construction_end,destruction_year,status,tallest_in_world,notes,source1,source2,source3
Beauvais Cathedral - St-Pierre (1569 onwards),Christian (Catholic),Christian (Catholic),France,49.43248209,2.081154244,67,1570,1575,,standing,no,Unfinished; vaults collapsed; would have been tallest,https://en.wikipedia.org/wiki/Beauvais_Cathedral,https://www.mdpi.com/2571-9408/8/6/203,
"St. Mary's Church, Stralsund",Christian (Catholic),Christian (Lutheran),Germany,54.3099824,13.088166,151,1384,1478,1647,destroyed - lighting and fire,yes,Tallest building 1549-1647,"https://en.wikipedia.org/wiki/St._Mary%27s_Church,_Stralsund",https://www.stralsundtourismus.de/en/poi/marienkirche-stralsund,
"St. Mary's Church, Stralsund (1647 onwards)",Christian (Catholic),Christian (Lutheran),Germany,54.3099824,13.088166,104,1648,1708,,standing,no,Tallest building 1549-1647,"https://en.wikipedia.org/wiki/St._Mary%27s_Church,_Stralsund",https://www.stralsundtourismus.de/en/poi/marienkirche-stralsund,
Rouen Cathedral,Christian (Catholic),Christian (Catholic),France,49.44027549,1.09462794,128,1030,1557,1822,destroyed - lighting and fire,no,Tallest building 1876-1880,https://en.wikipedia.org/wiki/Rouen_Cathedral,https://frenchmoments.eu/rouen-cathedral/,
Rouen Cathedral (1822 onwards),Christian (Catholic),Christian (Catholic),France,49.44027549,1.09462794,151,1823,1876,,standing,yes,Tallest building 1876-1880,https://en.wikipedia.org/wiki/Rouen_Cathedral,https://frenchmoments.eu/rouen-cathedral/,
St. Nikolai Church (Hamburg),Christian (Catholic),Christian (Lutheran),Germany,53.54760541,9.990706672,122,1189,1517,1842,standing,no,Destroyed in WWII; spire remains - paired with coventry,"https://en.wikipedia.org/wiki/St._Nicholas_Church,_Hamburg",,
St. Nikolai Church (Hamburg),Christian (Catholic),Christian (Lutheran),Germany,53.54760541,9.990706672,147,1843,1874,,standing - tower only,yes,Destroyed in WWII; spire remains - paired with coventry,"https://en.wikipedia.org/wiki/St._Nicholas_Church,_Hamburg",,
Great Pyramid of Giza,Ancient Egyptian,none,Egypt,29.97906881,31.13422309,146.6,-2580,-2560,1303,ruined,yes,Originally ~146.6 m; now ~138.8 m,https://www.worldhistory.org/timeline/pyramid/,https://en.wikipedia.org/wiki/Giza_pyramid_complex,https://www.nature.com/articles/s40494-020-0356-9
Great Pyramid of Giza (1303 onwards),Ancient Egyptian,none,Egypt,29.97906881,31.13422309,138.8,1304,1305,,standing,yes,Originally ~146.6 m; now ~138.8 m,https://www.worldhistory.org/timeline/pyramid/,https://en.wikipedia.org/wiki/Giza_pyramid_complex,https://www.nature.com/articles/s40494-020-0356-9
Great Pyramid of Khafre,Ancient Egyptian,none,Egypt,29.97565015,31.13072835,143.5,-2550,-2530,1303,ruined,no,Originally ~143.5 m; now ~136.4 m,https://www.worldhistory.org/timeline/pyramid/,https://en.wikipedia.org/wiki/Giza_pyramid_complex,https://www.nature.com/articles/s40494-020-0356-9
Great Pyramid of Khafre (1303 onwards),Ancient Egyptian,none,Egypt,29.97565015,31.13072835,136.4,1304,1305,,standing,no,Originally ~143.5 m; now ~136.4 m,https://www.worldhistory.org/timeline/pyramid/,https://en.wikipedia.org/wiki/Giza_pyramid_complex,https://www.nature.com/articles/s40494-020-0356-9
Strasbourg Cathedral,Christian (Catholic),Christian (Catholic),France,48.58174236,7.750793291,142,1015,1439,,standing,yes,Tallest building 1647-1874,https://en.wikipedia.org/wiki/Strasbourg_Cathedral,,
Basilica of Our Lady of Licheń,Christian (Catholic),Christian (Catholic),Poland,52.32308617,18.35869541,141,1994,2004,,standing,no,One of the tallest modern churches,https://en.wikipedia.org/wiki/Basilica_of_Our_Lady_of_Liche%C5%84,,
St. Peter's Basilica,Christian (Catholic),Christian (Catholic),Vatican City,41.9020615,12.45332135,136.6,1506,1626,,standing,no,Dome height 136.6 m,https://en.wikipedia.org/wiki/St._Peter%27s_Basilica,,
St. Stephen's Cathedral (Vienna),Christian (Catholic),Christian (Catholic),Austria,48.20856441,16.37301297,136,1137,1433,,standing,no,South tower 136m. Construction of North tower continued to 1578 but much smaller,"https://en.wikipedia.org/wiki/St._Stephen%27s_Cathedral,_Vienna",,
Cathedral of Maringá,Christian (Catholic),Christian (Catholic),Brazil,-23.42643286,-51.9384097,124,1959,1972,,standing,no,Conical cathedral 124 m,https://en.wikipedia.org/wiki/Cathedral_of_Maring%C3%A1,,
Great Stupa of Jetavanaramaya,Buddhist,Buddhist,Sri Lanka,8.351460666,80.40365993,122,290,305,1215,Destroyed by Kalinga Magha,no,Started by King Mahasena of Anuradhapura and finished by his son. No sources for exact dates but 15 year period is mentioned,https://ceylonhistory.com/en/stories/jetavanaramaya/,https://en.wikipedia.org/wiki/Jetavanaramaya,https://en.wikipedia.org/wiki/Kalinga_Magha
Great Stupa of Jetavanaramaya (1186 onwards),Buddhist,Buddhist,Sri Lanka,8.351460666,80.40365993,71,1153,1186,,standing,no,Started by King Mahasena of Anuradhapura and finished by his son. No sources for exact dates but 15 year period is mentioned,https://ceylonhistory.com/en/stories/jetavanaramaya/,https://en.wikipedia.org/wiki/Jetavanaramaya,https://en.wikipedia.org/wiki/Parakramabahu_I
Potala Palace,Buddhist,Buddhist,China,29.65669415,91.1178591,119,1645,1694,,standing,no,Height includes entire palace mass,https://en.wikipedia.org/wiki/Potala_Palace,,
Abhayagiri Dagoba,Buddhist,Buddhist,Sri Lanka,8.370708126,80.39549626,115,112,134,800,ruined - invaders cause collapse,no,Height disputed; originally 115 m,https://www.proquest.com/openview/60b5ffb1d4d998b5797626bfa8897a23/1?pq-origsite=gscholar&cbl=1817606,https://mapacademy.io/article/abhayagiri-vihara-anuradhapura/,
Abhayagiri Dagoba (modern restoration),Buddhist,Buddhist,Sri Lanka,8.370708126,80.39549626,75,1882,2015,,standing,no,Height disputed; originally 115 m,https://www.proquest.com/openview/60b5ffb1d4d998b5797626bfa8897a23/1?pq-origsite=gscholar&cbl=1817606,https://mapacademy.io/article/abhayagiri-vihara-anuradhapura/,
Florence Cathedral (Santa Maria del Fiore),Christian (Catholic),Christian (Catholic),Italy,43.77301332,11.25664782,114,1296,1436,,standing,no,Dome height ~114 m,https://en.wikipedia.org/wiki/Florence_Cathedral,,
Chartres Cathedral,Christian (Catholic),Christian (Catholic),France,48.44758825,1.487448593,105,1126,1170,1506,lighting destroys north tower,no,South tower 105m,https://en.wikipedia.org/wiki/Chartres_Cathedral,,
Chartres Cathedral (North tower reconstruction),Christian (Catholic),Christian (Catholic),France,48.44758825,1.487448593,113,1507,1513,,standing,no,North tower 113 m,https://en.wikipedia.org/wiki/Chartres_Cathedral,,
Shwedagon Pagoda,Buddhist,Buddhist,Myanmar,16.79789214,96.14949059,112,1362,1775,,standing,no,Height includes spire; rebuilt multiple times,https://en.wikipedia.org/wiki/Shwedagon_Pagoda,,
St. Paul's Cathedral (London),Christian (Anglican),Christian (Anglican),United Kingdom,51.51353695,-0.098507538,111,1675,1710,,standing,no,Tallest building in London 1710-1963,https://en.wikipedia.org/wiki/St_Paul%27s_Cathedral,,
Milan Cathedral (Duomo),Christian (Catholic),Christian (Catholic),Italy,45.46402832,9.191195218,108,1386,1762,,standing,no,Completion date is for Madonnina spire 108m. Cathedral completion in 1965,https://en.wikipedia.org/wiki/Milan_Cathedral,,
Seville Cathedral,Christian (Catholic),Christian (Catholic),Spain,37.38561126,-5.993304863,105,1401,1519,,standing,no,Largest Gothic cathedral,https://en.wikipedia.org/wiki/Seville_Cathedral,,
Prophet's Mosque (Al Masjid-e-Nabawi),Islamic,Islamic,Saudi Arabia,24.46751875,39.61023309,105,623,1994,,standing,no,Modern minarets ~105m,https://en.wikipedia.org/wiki/Prophet%27s_Mosque,,
Ruwanweli Maha Seya,Buddhist,Buddhist,Sri Lanka,8.349880272,80.3966266,55,-161,-140,1215,Destroyed by Kalinga Magha,no,Originally ~103 m; rebuilt,https://en.wikipedia.org/wiki/Ruwanwelisaya,https://en.wikipedia.org/wiki/Kalinga_Magha,
Ruwanweli Maha Seya (modern restoration),Buddhist,Buddhist,Sri Lanka,8.349880272,80.3966266,103,1873,1940,,standing,no,Originally ~103 m; rebuilt,https://en.wikipedia.org/wiki/Ruwanwelisaya,https://en.wikipedia.org/wiki/Kalinga_Magha,
"Cathedral of Christ the Saviour, Moscow",Christian (Orthodox),Christian (Orthodox),Russia,55.74439189,37.60509389,103,1839,1883,1931,Destroyed by soviets,no,Rebuilt 1995-2000,https://en.wikipedia.org/wiki/Cathedral_of_Christ_the_Saviour,https://www.dw.com/en/why-moscows-most-iconic-church-used-to-be-a-swimming-pool/a-19566508,
"Cathedral of Christ the Saviour, Moscow (reconstruction)",Christian (Orthodox),Christian (Orthodox),Russia,55.74439189,37.60509389,103,1995,2000,,standing,no,Rebuilt 1995-2000,https://en.wikipedia.org/wiki/Cathedral_of_Christ_the_Saviour,https://www.dw.com/en/why-moscows-most-iconic-church-used-to-be-a-swimming-pool/a-19566508,
St. Vitus Cathedral,Christian (Catholic),Christian (Catholic),Czech Republic,50.09089304,14.40020666,102,1344,1929,,standing,no,"South tower (102m) completed in late 16th century, but no date given. Height disputed between 97.5 and 102m",https://en.wikipedia.org/wiki/St._Vitus_Cathedral,https://storyofprague.cz/blog/st-vitus-cathedral/,
Liverpool Cathedral,Christian (Anglican),Christian (Anglican),United Kingdom,53.39730396,-2.973167855,101,1904,1978,,standing,no,Height ~101 m,https://en.wikipedia.org/wiki/Liverpool_Cathedral,,
St. Isaac's Cathedral,Christian (Orthodox),Christian (Orthodox),Russia,59.93819426,30.30802231,101,1818,1858,,standing,no,Dome height ~101 m,"https://tmora.org/online-exhibitions/imperial-st-petersburg-architectural-visions/academy-of-fine-arts/st-isaacs-cathedral/#:~:text=At%20333%20feet%2C%20St.,12%20x%2018%20in..",,
"St. Patrick's Cathedral, New York",Christian (Catholic),Christian (Catholic),United States,40.75843871,-73.97625328,100,1858,1878,,standing,no,Twin spires 100 m,https://en.wikipedia.org/wiki/St._Patrick%27s_Cathedral_(New_York_City),,
Basilica of Our Lady of Aparecida,Christian (Catholic),Christian (Catholic),Brazil,-22.85096752,-45.23391452,109,1955,1980,,standing,no,Height 109 m,https://en.wikipedia.org/wiki/Basilica_of_Our_Lady_of_Aparecida,,
St. Joseph's Oratory,Christian (Catholic),Christian (Catholic),Canada,45.4920538,-73.616683,102,1914,1967,,standing,no,Dome height ~97 m,https://en.wikipedia.org/wiki/Saint_Joseph%27s_Oratory,,
Washington National Cathedral,Christian (Episcopal),Christian (Episcopal),United States,38.93049815,-77.07127631,92,1907,1990,,standing,no,Height ~91 m,https://en.wikipedia.org/wiki/Washington_National_Cathedral,,
Faisal Mosque. Islamabad,Islamic,Islamic,Pakistan,33.72930604,73.03770134,90,1976,1986,,standing,no,Minarets 90 m,https://en.wikipedia.org/wiki/Faisal_Mosque,,
Masjid al-Haram,Islamic,Islamic,Saudi Arabia,21.42281873,39.82540255,139,700,2026,,standing,no,Previous minarets 89m. Current ones still under construction,https://en.wikipedia.org/wiki/Masjid_al-Haram,,
Salisbury Cathedral,Christian (Catholic),Christian (Anglican),United Kingdom,51.0650134,-1.797857587,123,1220,1330,,standing,no,tallest cathedral in world from 1569-1573,https://en.wikipedia.org/wiki/Salisbury_Cathedral#Building_and_architecture,,
Norwich Cathedral,Christian (Catholic),Christian (Anglican),United Kingdom,52.63189396,1.300859915,96,1096,1485,,standing,no,,https://en.wikipedia.org/wiki/Norwich_Cathedral,,
"St Mary's Cathedral, Edinburgh",Christian (Episcopal),Christian (Episcopal),United Kingdom,55.94841222,-3.216534842,90,1874,1917,,standing,no,,"https://en.wikipedia.org/wiki/St_Mary%27s_Cathedral,_Edinburgh_(Episcopal)",,
Coventry Cathedral,Christian (Catholic),Christian (Anglican),United Kingdom,52.40799231,-1.508014316,88,1138,1450,,standing - tower only,no,Destroyed in 1940 Coventry Blitz. Only spire remains,https://en.wikipedia.org/wiki/Coventry_Cathedral,"https://www.historiccoventry.co.uk/cathedrals/oldcathedral.php?pg=spire#:~:text=The%20tower%20was%20added%20to,King%20Henry%20VI%20in%201450.",
Westminster Cathedral,Christian (Catholic),Christian (Catholic),United Kingdom,51.49560415,-0.139416368,87,1895,1903,,standing,no,,https://en.wikipedia.org/wiki/Westminster_Cathedral,,
Liverpool Metropolitan Cathedral,Christian (Catholic),Christian (Catholic),United Kingdom,53.40461082,-2.968701305,85,1962,1967,,standing,no,,https://en.wikipedia.org/wiki/Liverpool_Metropolitan_Cathedral,,
York Minster,Christian (Catholic),Christian (Anglican),United Kingdom,53.96227428,-1.082328933,72,1230,1472,,standing,no,Largest medieval Cathedral in the United Kingdom,https://en.wikipedia.org/wiki/York_Minster,,
Westminster Abbey,Christian (Catholic),Christian (Anglican),United Kingdom,51.49937815,-0.127727438,69,1245,1269,,standing,no,,https://en.wikipedia.org/wiki/Westminster_Abbey,,
Glasgow Cathedral,Christian (Catholic),Christian (Anglican),United Kingdom,55.86306085,-4.234894262,68,1197,1258,,standing,no,Assuming construction completed within William de Bondinton's lifetime,https://en.wikipedia.org/wiki/Glasgow_Cathedral,https://web.archive.org/web/20210812180445/https://www.glasgowcathedral.org/history/,
Hassan II Mosque,Islamic,Islamic,Morocco,33.60808325,-7.632685606,210,1986,1993,,standing,no,Minaret 210 m,https://en.wikipedia.org/wiki/Hassan_II_Mosque,,
Sultan Salahuddin Abdul Aziz Mosque,Islamic,Islamic,Malaysia,3.078540181,101.5204065,142,1982,1988,,standing,no,Blue Mosque; dome 106.7 m,https://en.wikipedia.org/wiki/Sultan_Salahuddin_Abdul_Aziz_Mosque,,
ligion_first_final,Islamic,Islamic,Iran,35.73395935,51.42448503,135,1990,2030,,standing,no,Still partially incomplete. No estimates availiable so 2030 seems sensible,https://en.wikipedia.org/wiki/Grand_Mosalla_of_Tehran,,
Sheikh Zayed Grand Mosque,Islamic,Islamic,UAE,24.41250092,54.47542634,104,1996,2007,,standing,no,Four minarets at 107 m,https://en.wikipedia.org/wiki/Sheikh_Zayed_Grand_Mosque,,
Mosque of Sheikh Ibrahim Al-Ibrahim,Islamic,Islamic,Venezuela,10.5018212,-66.89536889,113,1989,1993,,standing,no,Tallest mosque in Latin America,https://en.wikipedia.org/wiki/Mosque_of_Sheikh_Ibrahim_Al-Ibrahim,,
