name,religion_origin,religion_current,type,country,continent,latitude,longitude,height_m,construction_start,construction_end,destruction_year,construction_timeline,status,tallest_in_world,notes,source1,source2,source3
"St Mary's Cathedral, Edinburgh",Christian (Episcopal),Christian (Episcopal),cathedral,United Kingdom,Europe,55.94841222,-3.216534842,90,1874,1917,,1874:1917:90,standing,no,,"https://en.wikipedia.org/wiki/St_Mary%27s_Cathedral,_Edinburgh_(Episcopal)",,
Sultan Qaboos Grand Mosque,Islamic,Islamic,mosque,Oman,Asia,23.58379524,58.38819596,90,1994,2001,,1994:2001:90,standing,no,Main mosque of Oman,https://en.wikipedia.org/wiki/Sultan_Qaboos_Grand_Mosque,,
Trinity Lavra of St. Sergius,Christian (Orthodox),Christian (Orthodox),cathedral,Russia,Europe,56.3104389,38.1307662,88,1740,1770,,1740:1770:88,standing,no,Height ~88 m,https://en.wikipedia.org/wiki/Trinity_Lavra_of_St._Sergius,https://web.archive.org/web/20050909215714/http://www.musobl.divo.ru/belfry_e.html,
Coventry Cathedral,Christian (Catholic),Christian (Anglican),cathedral,United Kingdom,Europe,52.40799231,-1.508014316,88,1138,1450,,1138:1450:88,standing - tower only,no,Destroyed in 1940 Coventry Blitz. Only spire remains,https://en.wikipedia.org/wiki/Coventry_Cathedral,"https://www.historiccoventry.co.uk/cathedrals/oldcathedral.php?pg=spire#:~:text=The%20tower%20was%20added%20to,King%20Henry%20VI%20in%201450.",
Kocatepe Mosque,Islamic,Islamic,mosque,Turkey,Asia,39.91648066,32.86052588,88,1967,1987,,1967:1987:88,standing,no,Ottoman revival style,https://en.wikipedia.org/wiki/Kocatepe_Mosque,,
Abdülhamid Han Mosque,Islamic,Islamic,mosque,Turkey,Asia,37.58085026,36.90956967,88,1993,2011,,1993:2011:88,standing,no,,https://en.wikipedia.org/wiki/Abd%C3%BClhamid_Han_Mosque,,
Westminster Cathedral,Christian (Catholic),Christian (Catholic),cathedral,United Kingdom,Europe,51.49560415,-0.139416368,87,1895,1903,,1895:1903:87,standing,no,,https://en.wikipedia.org/wiki/Westminster_Cathedral,,
Maltepe Merkez Mosque,Islamic,Islamic,mosque,Turkey,Asia,39.92470177,32.84718775,87,1954,1959,,1954:1959:87,standing,no,,https://en.wikipedia.org/wiki/Maltepe_Mosque,,
Holy Trinity Cathedral of Tbilisi,Christian (Orthodox),Christian (Orthodox),cathedral,Georgia,Asia,41.69739479,44.81580832,86,1995,2004,,1995:2004:86,standing,no,,https://en.wikipedia.org/wiki/Holy_Trinity_Cathedral_of_Tbilisi,,
Wat Arun,Buddhist,Buddhist,temple,Thailand,Asia,13.74368145,100.4889347,86,1656,1851,,1650:1851:86,standing,no,Height ~86 m,https://en.wikipedia.org/wiki/Wat_Arun,,
Liverpool Metropolitan Cathedral,Christian (Catholic),Christian (Catholic),cathedral,United Kingdom,Europe,53.40461082,-2.968701305,85,1962,1967,,1962:1967:85,standing,no,,https://en.wikipedia.org/wiki/Liverpool_Metropolitan_Cathedral,,
Liaodi Pagoda,Buddhist,Buddhist,pagoda,China,Asia,38.51042772,114.9966463,84,1001,1055,,1001:1055:84,standing,no,Tallest pre-modern pagoda,https://en.wikipedia.org/wiki/Liaodi_Pagoda,,
Mosque-Madrassa of Sultan Hassan,Islamic,Islamic,mosque,Egypt,Africa,30.03199057,31.25653924,82,1356,1363,,1356:1364:82,standing,no,Mamluk architecture,https://en.wikipedia.org/wiki/Mosque-Madrasa_of_Sultan_Hasan,https://islamicart.museumwnf.org/database_item.php?id=monument;isl;eg;mon01;16;en,
Ivan the Great Bell Tower,Christian (Orthodox),Christian (Orthodox),cathedral,Russia,Europe,55.75074852,37.61809467,81,1505,1508,,1505:1508:81,standing,no,Height ~81 m,https://en.wikipedia.org/wiki/Ivan_the_Great_Bell_Tower,,
Hwangnyongsa,Buddhist,Buddhist,pagoda,Korea,Asia,35.78887463,129.2266619,80,553,644,1238,553:644:80,destroyed,no,,https://en.wikipedia.org/wiki/Hwangnyongsa,,
Mosque of Muhammad Ali,Islamic,Islamic,mosque,Egypt,Africa,30.02891251,31.25991598,80,1830,1857,,1830:1857:80,standing,no,Ottoman mosque in Cairo Citadel,https://en.wikipedia.org/wiki/Muhammad_Ali_Mosque,,
Porcelain Tower of Nanjing (original),Buddhist,none,pagoda,China,Asia,32.00905846,118.7827936,79,1412,1431,1856,1412:1431:79;2010:2016:79,destroyed,no,Original destroyed; modern reconstruction exists. Exact location not found,https://en.wikipedia.org/wiki/Porcelain_Tower_of_Nanjing,https://www.mdpi.com/2073-445X/11/7/978,
Minaret of Koutoubia,Islamic,Islamic,mosque,Morocco,Africa,31.62407408,-7.993260281,77,1150,1195,,1150:1195:77,standing,no,Height ~77 m,https://en.wikipedia.org/wiki/Kutubiyya_Mosque,,
Gopuram of Murudeshwar Temple,Hindu,Hindu,gopura,India,Asia,14.09420819,74.48509194,75,1990,2008,,1990:2008:75,standing,no,Modern gopuram 75 m. No source found for construction start other than facebook post,https://en.wikipedia.org/wiki/Murdeshwar,,
St. Mary's Cathedral (Sydney),Christian (Catholic),Christian (Catholic),cathedral,Australia,Oceania,-33.87125792,151.2133138,75,1868,1928,,1868:1928:75,standing,no,Twin spires 75 m,"https://en.wikipedia.org/wiki/St_Mary%27s_Cathedral,_Sydney",,
Sri Ranganathaswamy Temple,Hindu,Hindu,gopura,India,Asia,10.86230032,78.69099441,73,1500,1987,,1500:1987:73,standing,no,Rajagopuram 73 m,"https://en.wikipedia.org/wiki/Ranganathaswamy_Temple,_Srirangam",,
Qutub Minar,Islamic,Islamic,mosque,India,Asia,28.52435072,77.18551337,73,1192,1220,,1192:1220:73,standing,no,Height 72.5 m; tallest brick minaret,https://en.wikipedia.org/wiki/Qutb_Minar,,
York Minster,Christian (Catholic),Christian (Anglican),cathedral,United Kingdom,Europe,53.96227428,-1.082328933,72,1230,1472,,1230:1472:72,standing,no,Largest medieval Cathedral in the United Kingdom,https://en.wikipedia.org/wiki/York_Minster,,
Selimiye Mosque,Islamic,Islamic,mosque,Turkey,Europe,41.67778516,26.55883261,71,1568,1575,,1568:1575:71,standing,no,Designed by Mimar Sinan,"https://en.wikipedia.org/wiki/Selimiye_Mosque,_Edirne",,
Tikal Temple IV,Maya,Maya,pyramid,Guatemala,North America,17.22351555,-89.63005081,70,731,741,,731:741:70,standing,no,"Height includes roof comb. No source for started construction, assumed 10 years",https://en.wikipedia.org/wiki/Tikal_Temple_IV,,
Cathedral of St. John the Divine,Christian (Episcopal),Christian (Episcopal),cathedral,United States,North America,40.8039747,-73.96238679,70,1892,2025,,1892:2025:70,standing,no,Still incomplete; height ~70 m,https://en.wikipedia.org/wiki/Cathedral_of_St._John_the_Divine,,
Notre-Dame de Paris,Christian (Catholic),Christian (Catholic),cathedral,France,Europe,48.85285731,2.349856949,69,1163,1345,2019,1163:1345:69;2020:2024:69,standing,no,Spire destroyed 2019; height ~69 m,https://en.wikipedia.org/wiki/Notre-Dame_de_Paris,,
Westminster Abbey,Christian (Catholic),Christian (Anglican),cathedral,United Kingdom,Europe,51.49937815,-0.127727438,69,1245,1269,,1245:1269:69,standing,no,,https://en.wikipedia.org/wiki/Westminster_Abbey,,
Salt Lake Temple,LDS,LDS,cathedral,United States,North America,40.77048499,-111.8919768,68,1853,1893,,1853:1893:68,standing,no,Height ~68 m,https://en.wikipedia.org/wiki/Salt_Lake_Temple,,
Glasgow Cathedral,Christian (Catholic),Christian (Anglican),cathedral,United Kingdom,Europe,55.86306085,-4.234894262,68,1197,1258,,1197:1258:68,standing,no,Assuming construction completed within William de Bondinton's lifetime,https://en.wikipedia.org/wiki/Glasgow_Cathedral,https://web.archive.org/web/20210812180445/https://www.glasgowcathedral.org/history/,
Pagoda of Fogong Temple,Buddhist,Buddhist,pagoda,China,Asia,39.56524519,113.1819601,67,1055,1056,,1055:1056:67,standing,no,Tallest wooden pagoda,https://en.wikipedia.org/wiki/Pagoda_of_Fogong_Temple,,
Pyramid of the Sun,Teotihuacanos,Teotihuacanos,pyramid,Mexico,North America,19.69214418,-98.84444237,66,150,350,,150:350:66,standing,no,,https://en.wikipedia.org/wiki/Pyramid_of_the_Sun,https://digitalcommons.usf.edu/kip_articles/6005/,
"Brihadeeswarar Temple, Thanjavur",Hindu,Hindu,gopura,India,Asia,10.78254979,79.13123744,66,1003,1010,,1003:1010:66,standing,no,Vimana height ~66 m,https://en.wikipedia.org/wiki/Brihadisvara_Temple,,
Minaret of Jam,Islamic,Islamic,mosque,Afghanistan,Asia,34.39644884,64.51567147,65,1190,1194,,1190:1194:65,standing,no,unknown start date,https://en.wikipedia.org/wiki/Minaret_of_Jam,,
Angkor Wat,Hindu,Buddhist,temple,Cambodia,Asia,13.41231007,103.8669244,65,1113,1150,,1113:1150:65,standing,no,Originally Hindu; now Buddhist,https://en.wikipedia.org/wiki/Angkor_Wat,,
Sultan Ahmed Mosque (Blue Mosque),Islamic,Islamic,mosque,Turkey,Europe,41.00511129,28.97682487,64,1609,1616,,1609:1616:43,standing,no,Dome height ~43 m,"https://en.wikipedia.org/wiki/Blue_Mosque,_Istanbul",,
"ChristChurch Cathedral, New Zealand",Christian (Anglican),Christian (Anglican),cathedral,New Zealand,Oceania,-43.53092502,172.6375057,63,1864,1904,2011,1864:1904:63,ruined,no,Collapsed in 2011 earthquake,"https://en.wikipedia.org/wiki/Christ_Church_Cathedral,_Christchurch",,
Ruwanweli Maha Seya,Buddhist,Buddhist,stupa,Sri Lanka,Asia,8.349880272,80.3966266,55,-161,-140,1215,-161:-140:55;1873:1940:103,Destroyed by Kalinga Magha,no,Originally ~103 m; rebuilt,https://en.wikipedia.org/wiki/Ruwanwelisaya,https://en.wikipedia.org/wiki/Kalinga_Magha,
Hagia Sophia,Christian (Orthodox),Islamic,cathedral,Turkey,Europe,41.00819275,28.97962622,55,532,537,,532:537:55;1580:1585:60,standing,no,"dome 55, minarets 60m, constructed 1000 years later",https://en.wikipedia.org/wiki/Hagia_Sophia,https://en.wikipedia.org/wiki/Mimar_Sinan,
Mahabodhi Temple,Buddhist,Buddhist,gopura,India,Asia,24.69582616,84.99145157,55,200,250,,200:250:55,standing,no,Height ~55 m,https://en.wikipedia.org/wiki/Mahabodhi_Temple,,
Todai-ji Daibutsuden,Buddhist,Buddhist,pagoda,Japan,Asia,34.68907746,135.8400341,48,743,752,,743:752:48,standing,no,Rebuilt; height ~48 m,https://en.wikipedia.org/wiki/T%C5%8Ddai-ji,,
"St Basils, Moscow",Christian (Orthodox),Christian (Orthodox),cathedral,Russia,Europe,55.75236412,37.62295555,47,1555,1561,,1555:1561:47,standing,no,,https://en.wikipedia.org/wiki/Saint_Basil%27s_Cathedral,,
Pyramid of the Moon,Teotihuacanos,Teotihuacanos,pyramid,Mexico,North America,19.69921304,-98.84373529,43,100,400,,100:400:43,standing,no,,https://en.wikipedia.org/wiki/Pyramid_of_the_Sun,https://www.cambridge.org/core/journals/ancient-mesoamerica/article/moon-pyramid-project-and-the-teotihuacan-state-polity/B9BCECCEC6B02B87AB40A4A778DEFD0C,
"Akshardham Temple, Delhi",Hindu,Hindu,temple,India,Asia,28.61225229,77.27719585,43,2000,2005,,2000:2005:43,standing,no,Central shikhara ~43 m,"https://en.wikipedia.org/wiki/Swaminarayan_Akshardham_(Delhi)#:~:text=Swaminarayan%20Akshardham%20is%20a%20Hindu,in%20the%20presence%20of%20A.%20P.%20J.",,
Great Synagogue of Budapest,Jewish,Jewish,synagogue,Hungary,Europe,47.49584444,19.06039873,43,1854,1859,,1854:1859:43,standing,no,Height ~43 m,https://en.wikipedia.org/wiki/Doh%C3%A1ny_Street_Synagogue,,
Cathedral of Brasília,Christian (Catholic),Christian (Catholic),cathedral,Brazil,South America,-15.79851299,-47.8755156,40,1958,1970,,1958:1970:40,standing,no,Hyperboloid structure,https://en.wikipedia.org/wiki/Cathedral_of_Bras%C3%ADlia,,
"El Castillo, Chichen Itza",Maya,Maya,pyramid,Mexico,North America,20.68278118,-88.56873734,30,800,1100,,800:1100:30,standing,no,Height ~30 m including temple,"https://en.wikipedia.org/wiki/El_Castillo,_Chichen_Itza",,
